patent_id,title,filing_date,assignee,abstract,claims
pat_b7bbbf6fcf,Device for CAR-T manufacturing,2023-01-15,OmicsCore SA,Claims a method improving selectivity using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: method step ..."", ""Claim 7: control algorithm ..."", ""Claim 8: composition ..."", ""Claim 9: composition ...""]"
pat_f300883f6a,Composition for mRNA therapeutics,2014-04-12,SpinOut Biotech,Claims a novel apparatus improving selectivity using ML control.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ..."", ""Claim 6: system integration ..."", ""Claim 7: control algorithm ...""]"
pat_ad062ddefa,System for single-cell multiomics,2016-09-11,DeepMaterials Inc,Claims a controller improving selectivity using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: control algorithm ..."", ""Claim 7: method step ..."", ""Claim 8: system integration ..."", ""Claim 9: system integration ...""]"
pat_8495aed660,Composition for nanopore sequencing,2014-11-01,SpinOut Biotech,Claims a composition improving stability using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: control algorithm ..."", ""Claim 9: system integration ..."", ""Claim 10: control algorithm ...""]"
pat_2633817ae9,Device for ultrafast Li-ion charging,2013-05-31,GlobalChem,Claims a controller improving throughput using nanoporous films.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: composition ...""]"
pat_c8b1de2f2a,Composition for photovoltaic perovskites,2020-03-27,Univ. Tech Labs,Claims a composition improving throughput using ML control.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ...""]"
pat_8ed51a306c,Composition for bioreactor control,2013-02-26,Independent Inventor,Claims a novel apparatus improving selectivity using optimized buffer.,"[""Claim 1: control algorithm ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ...""]"
pat_a5334129ec,Method for photovoltaic perovskites,2017-06-02,OmicsCore SA,Claims a composition improving stability using ML control.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: method step ...""]"
pat_8f0a2cc496,System for biosensors,2019-06-22,MedDevice Corp,Claims a composition improving stability using microchannels.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: composition ..."", ""Claim 9: control algorithm ...""]"
pat_3ec936e38f,System for photovoltaic perovskites,2017-07-03,Univ. Tech Labs,Claims a controller improving selectivity using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: control algorithm ..."", ""Claim 7: control algorithm ..."", ""Claim 8: control algorithm ..."", ""Claim 9: composition ..."", ""Claim 10: control algorithm ...""]"
pat_8bf0c0f538,Device for ultrafast Li-ion charging,2019-03-03,GlobalChem,Claims a composition improving throughput using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: system integration ..."", ""Claim 6: method step ..."", ""Claim 7: method step ..."", ""Claim 8: method step ..."", ""Claim 9: control algorithm ..."", ""Claim 10: method step ..."", ""Claim 11: method step ...""]"
pat_406285a23d,Method for photovoltaic perovskites,2017-12-09,OmicsCore SA,Claims a composition improving selectivity using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ..."", ""Claim 7: system integration ..."", ""Claim 8: composition ..."", ""Claim 9: control algorithm ..."", ""Claim 10: composition ..."", ""Claim 11: composition ...""]"
pat_5fa23ff573,Method for AI-driven medicinal chemistry,2020-04-29,SpinOut Biotech,Claims a novel apparatus improving selectivity using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ...""]"
pat_855da188ca,Composition for AI-driven medicinal chemistry,2019-01-04,MedDevice Corp,Claims a novel apparatus improving stability using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: composition ..."", ""Claim 3: system integration ..."", ""Claim 4: method step ..."", ""Claim 5: control algorithm ...""]"
pat_c3f931999e,Method for bioreactor control,2009-08-21,MedDevice Corp,Claims a method improving throughput using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: method step ..."", ""Claim 4: method step ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: control algorithm ..."", ""Claim 9: control algorithm ..."", ""Claim 10: composition ..."", ""Claim 11: method step ..."", ""Claim 12: system integration ...""]"
pat_dfddeca43b,Device for biosensors,2018-01-31,Independent Inventor,Claims a novel apparatus improving stability using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: method step ...""]"
pat_f6211bc7be,Composition for graphene membranes,2008-12-16,Univ. Tech Labs,Claims a method improving throughput using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ..."", ""Claim 6: method step ..."", ""Claim 7: system integration ..."", ""Claim 8: system integration ..."", ""Claim 9: control algorithm ...""]"
pat_e226112a96,System for bioprinting,2010-12-08,OmicsCore SA,Claims a composition improving throughput using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: composition ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: system integration ..."", ""Claim 6: system integration ..."", ""Claim 7: method step ..."", ""Claim 8: method step ..."", ""Claim 9: composition ...""]"
pat_679fa0afd0,System for nanopore sequencing,2017-02-15,OmicsCore SA,Claims a method improving throughput using optimized buffer.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: method step ..."", ""Claim 4: method step ..."", ""Claim 5: control algorithm ..."", ""Claim 6: system integration ..."", ""Claim 7: system integration ...""]"
pat_9bcb9c7439,System for CAR-T manufacturing,2014-06-29,SpinOut Biotech,Claims a controller improving selectivity using ML control.,"[""Claim 1: method step ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ..."", ""Claim 6: method step ..."", ""Claim 7: method step ..."", ""Claim 8: system integration ..."", ""Claim 9: composition ...""]"
pat_76c8465cdd,System for gene editing (CRISPR),2016-09-20,SpinOut Biotech,Claims a composition improving yield using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ...""]"
pat_d8ccf7be58,Composition for wearable health sensors,2013-08-02,SpinOut Biotech,Claims a composition improving stability using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: composition ...""]"
pat_4178a6f8d2,Method for lab-on-a-chip,2017-07-11,DeepMaterials Inc,Claims a composition improving yield using ML control.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: control algorithm ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: method step ..."", ""Claim 9: composition ..."", ""Claim 10: composition ...""]"
pat_4d0d775d28,System for ultrafast Li-ion charging,2020-06-22,SpinOut Biotech,Claims a method improving yield using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: system integration ..."", ""Claim 4: method step ..."", ""Claim 5: method step ...""]"
pat_943b910b7f,Device for bioreactor control,2025-08-03,GlobalChem,Claims a controller improving selectivity using microchannels.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: system integration ..."", ""Claim 7: system integration ...""]"
pat_15f49263cf,Method for biosensors,2017-12-08,Independent Inventor,Claims a composition improving selectivity using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: control algorithm ..."", ""Claim 7: method step ..."", ""Claim 8: method step ..."", ""Claim 9: control algorithm ..."", ""Claim 10: method step ..."", ""Claim 11: control algorithm ..."", ""Claim 12: system integration ...""]"
pat_bc249b6398,Device for robotic prosthetics,2025-07-07,OmicsCore SA,Claims a composition improving yield using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ...""]"
pat_350dfd687e,Composition for protein engineering,2017-11-29,Univ. Tech Labs,Claims a controller improving stability using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: system integration ..."", ""Claim 6: system integration ..."", ""Claim 7: method step ..."", ""Claim 8: method step ..."", ""Claim 9: method step ..."", ""Claim 10: method step ..."", ""Claim 11: system integration ...""]"
pat_63ccc97cfe,Composition for wearable health sensors,2012-03-14,MedDevice Corp,Claims a controller improving selectivity using ML control.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: method step ...""]"
pat_d383aaf453,Method for diagnostic imaging,2018-03-28,DeepMaterials Inc,Claims a composition improving throughput using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: method step ..."", ""Claim 6: method step ..."", ""Claim 7: control algorithm ..."", ""Claim 8: method step ..."", ""Claim 9: composition ..."", ""Claim 10: method step ..."", ""Claim 11: system integration ..."", ""Claim 12: method step ...""]"
pat_169fc7e27c,System for bioprinting,2008-03-28,Independent Inventor,Claims a novel apparatus improving throughput using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: method step ...""]"
pat_3be7d0ba4a,System for gene editing (CRISPR),2019-02-12,GlobalChem,Claims a composition improving selectivity using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ..."", ""Claim 6: control algorithm ..."", ""Claim 7: control algorithm ..."", ""Claim 8: method step ..."", ""Claim 9: control algorithm ..."", ""Claim 10: control algorithm ..."", ""Claim 11: composition ...""]"
pat_b704fe2dbe,Method for gene editing (CRISPR),2021-04-26,DeepMaterials Inc,Claims a novel apparatus improving selectivity using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ..."", ""Claim 6: system integration ...""]"
pat_8429dd4dad,System for bioprinting,2023-08-20,OmicsCore SA,Claims a method improving yield using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ...""]"
pat_acb2186c58,Device for solid-state cooling,2019-01-17,GlobalChem,Claims a controller improving stability using nanoporous films.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: method step ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ...""]"
pat_e703a2612d,Device for protein engineering,2011-05-03,OmicsCore SA,Claims a composition improving throughput using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: composition ..."", ""Claim 9: composition ..."", ""Claim 10: control algorithm ..."", ""Claim 11: control algorithm ...""]"
pat_c0ff72ef71,Method for AI-driven medicinal chemistry,2019-10-23,MedDevice Corp,Claims a novel apparatus improving yield using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: composition ...""]"
pat_9b188e6139,System for mRNA therapeutics,2020-04-03,MedDevice Corp,Claims a method improving yield using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ..."", ""Claim 6: system integration ..."", ""Claim 7: method step ..."", ""Claim 8: method step ..."", ""Claim 9: composition ..."", ""Claim 10: system integration ..."", ""Claim 11: composition ...""]"
pat_ff21236439,Method for nanopore sequencing,2012-11-07,SpinOut Biotech,Claims a method improving throughput using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: system integration ..."", ""Claim 6: control algorithm ..."", ""Claim 7: method step ...""]"
pat_a2c8f25851,Method for CAR-T manufacturing,2015-06-10,Univ. Tech Labs,Claims a novel apparatus improving stability using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: control algorithm ..."", ""Claim 7: system integration ..."", ""Claim 8: system integration ..."", ""Claim 9: system integration ..."", ""Claim 10: composition ..."", ""Claim 11: system integration ...""]"
pat_e8a0fcca3e,System for single-cell multiomics,2021-11-26,GlobalChem,Claims a method improving stability using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: composition ...""]"
pat_ba9774b92f,Composition for gene editing (CRISPR),2024-09-12,Independent Inventor,Claims a composition improving stability using ML control.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: control algorithm ..."", ""Claim 9: system integration ..."", ""Claim 10: method step ...""]"
pat_464a322c12,Device for battery chemistry,2008-11-11,Independent Inventor,Claims a controller improving selectivity using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: control algorithm ...""]"
pat_f76346207a,Method for single-cell multiomics,2009-02-28,GlobalChem,Claims a controller improving yield using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: method step ..."", ""Claim 7: method step ...""]"
pat_f19629ea35,Device for wearable health sensors,2011-11-22,Independent Inventor,Claims a method improving throughput using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: system integration ..."", ""Claim 7: control algorithm ...""]"
pat_ffda249fad,Method for bioprinting,2015-05-17,Independent Inventor,Claims a composition improving selectivity using ML control.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: composition ..."", ""Claim 9: control algorithm ..."", ""Claim 10: control algorithm ..."", ""Claim 11: control algorithm ..."", ""Claim 12: composition ...""]"
pat_928f0ae291,System for battery chemistry,2009-08-29,MedDevice Corp,Claims a composition improving yield using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: control algorithm ..."", ""Claim 9: system integration ...""]"
pat_5e7f154a67,Device for gene editing (CRISPR),2018-08-04,SpinOut Biotech,Claims a controller improving selectivity using microchannels.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: control algorithm ..."", ""Claim 6: system integration ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ..."", ""Claim 9: system integration ..."", ""Claim 10: system integration ...""]"
pat_711e8298cf,System for bioreactor control,2011-02-12,DeepMaterials Inc,Claims a composition improving selectivity using optimized buffer.,"[""Claim 1: method step ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: method step ..."", ""Claim 5: system integration ..."", ""Claim 6: system integration ..."", ""Claim 7: control algorithm ...""]"
pat_d88138e5d7,Method for solid-state cooling,2012-02-11,Univ. Tech Labs,Claims a controller improving selectivity using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: control algorithm ..."", ""Claim 8: composition ..."", ""Claim 9: method step ..."", ""Claim 10: method step ...""]"
pat_4e976cb095,Composition for solid-state cooling,2023-07-28,OmicsCore SA,Claims a controller improving throughput using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: method step ..."", ""Claim 4: method step ..."", ""Claim 5: control algorithm ..."", ""Claim 6: control algorithm ..."", ""Claim 7: control algorithm ..."", ""Claim 8: control algorithm ..."", ""Claim 9: system integration ..."", ""Claim 10: composition ..."", ""Claim 11: control algorithm ...""]"
pat_3720b67fef,System for CAR-T manufacturing,2009-03-20,Independent Inventor,Claims a controller improving selectivity using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: composition ...""]"
pat_869486c395,Composition for battery chemistry,2016-01-23,GlobalChem,Claims a controller improving throughput using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: method step ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ..."", ""Claim 9: control algorithm ..."", ""Claim 10: composition ..."", ""Claim 11: system integration ...""]"
pat_188e8485db,Device for bioreactor control,2023-03-24,OmicsCore SA,Claims a composition improving stability using optimized buffer.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: control algorithm ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: method step ..."", ""Claim 9: system integration ..."", ""Claim 10: method step ..."", ""Claim 11: control algorithm ..."", ""Claim 12: method step ...""]"
pat_d80a56474a,System for gene editing (CRISPR),2012-06-30,MedDevice Corp,Claims a novel apparatus improving stability using nanoporous films.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: method step ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: composition ..."", ""Claim 7: method step ..."", ""Claim 8: composition ..."", ""Claim 9: composition ..."", ""Claim 10: control algorithm ..."", ""Claim 11: composition ...""]"
pat_1fb644fcba,Composition for solid-state cooling,2020-09-10,Univ. Tech Labs,Claims a method improving stability using ML control.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: method step ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: system integration ..."", ""Claim 7: system integration ...""]"
pat_7c26c8338d,Composition for diagnostic imaging,2022-08-17,OmicsCore SA,Claims a controller improving selectivity using ML control.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: control algorithm ..."", ""Claim 4: method step ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ..."", ""Claim 9: composition ..."", ""Claim 10: composition ..."", ""Claim 11: composition ...""]"
pat_5537f9ef7b,System for battery chemistry,2024-12-27,SpinOut Biotech,Claims a method improving selectivity using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: system integration ..."", ""Claim 7: composition ...""]"
pat_d3e39017b1,Method for graphene membranes,2011-10-27,GlobalChem,Claims a controller improving stability using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: control algorithm ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: system integration ..."", ""Claim 9: system integration ..."", ""Claim 10: control algorithm ...""]"
pat_0a7d6c52fd,Device for biosensors,2012-08-21,SpinOut Biotech,Claims a composition improving yield using microchannels.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ...""]"
pat_5e01d6ec93,Device for robotic prosthetics,2018-01-21,OmicsCore SA,Claims a method improving throughput using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: control algorithm ..."", ""Claim 6: method step ..."", ""Claim 7: control algorithm ..."", ""Claim 8: composition ..."", ""Claim 9: control algorithm ..."", ""Claim 10: composition ..."", ""Claim 11: method step ...""]"
pat_398504d64a,System for photovoltaic perovskites,2020-02-11,Univ. Tech Labs,Claims a novel apparatus improving throughput using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: control algorithm ..."", ""Claim 3: method step ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: control algorithm ..."", ""Claim 7: system integration ..."", ""Claim 8: method step ..."", ""Claim 9: method step ..."", ""Claim 10: system integration ..."", ""Claim 11: method step ..."", ""Claim 12: system integration ...""]"
pat_0e8c881d12,System for CAR-T manufacturing,2022-09-03,MedDevice Corp,Claims a novel apparatus improving stability using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: method step ..."", ""Claim 7: composition ...""]"
pat_ea6fd1a760,System for biosensors,2022-01-06,SpinOut Biotech,Claims a method improving selectivity using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: control algorithm ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: control algorithm ..."", ""Claim 7: method step ...""]"
pat_d58c52b628,Method for robotic prosthetics,2009-02-12,SpinOut Biotech,Claims a controller improving throughput using optimized buffer.,"[""Claim 1: system integration ..."", ""Claim 2: composition ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: method step ..."", ""Claim 7: method step ..."", ""Claim 8: system integration ..."", ""Claim 9: control algorithm ..."", ""Claim 10: system integration ..."", ""Claim 11: method step ..."", ""Claim 12: system integration ...""]"
pat_9bd8d119ab,Method for wearable health sensors,2010-12-02,DeepMaterials Inc,Claims a method improving yield using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: method step ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: composition ..."", ""Claim 9: method step ..."", ""Claim 10: method step ..."", ""Claim 11: composition ...""]"
pat_ca2f864957,Composition for gene editing (CRISPR),2015-04-22,MedDevice Corp,Claims a method improving throughput using nanoporous films.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: system integration ..."", ""Claim 7: method step ..."", ""Claim 8: composition ..."", ""Claim 9: composition ..."", ""Claim 10: control algorithm ..."", ""Claim 11: composition ...""]"
pat_e5c00b3cb4,Method for protein engineering,2018-01-22,MedDevice Corp,Claims a controller improving selectivity using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: method step ..."", ""Claim 7: control algorithm ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ..."", ""Claim 10: method step ...""]"
pat_7fe70887b6,Device for mRNA therapeutics,2011-10-28,OmicsCore SA,Claims a controller improving throughput using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: method step ..."", ""Claim 9: composition ..."", ""Claim 10: composition ..."", ""Claim 11: system integration ...""]"
pat_c37a9baf3a,Device for graphene membranes,2022-03-14,DeepMaterials Inc,Claims a controller improving selectivity using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: method step ...""]"
pat_8c26569637,Device for graphene membranes,2024-12-16,OmicsCore SA,Claims a novel apparatus improving yield using optimized buffer.,"[""Claim 1: composition ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: method step ..."", ""Claim 6: method step ..."", ""Claim 7: system integration ..."", ""Claim 8: composition ..."", ""Claim 9: composition ..."", ""Claim 10: system integration ..."", ""Claim 11: system integration ...""]"
pat_c97236bdc3,Method for protein engineering,2021-02-21,MedDevice Corp,Claims a composition improving throughput using ML control.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: control algorithm ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: method step ..."", ""Claim 7: control algorithm ..."", ""Claim 8: composition ..."", ""Claim 9: control algorithm ...""]"
pat_1e6b4b6c39,Method for solid-state cooling,2025-01-06,Independent Inventor,Claims a controller improving throughput using optimized buffer.,"[""Claim 1: system integration ..."", ""Claim 2: method step ..."", ""Claim 3: composition ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: composition ..."", ""Claim 9: method step ..."", ""Claim 10: composition ..."", ""Claim 11: system integration ..."", ""Claim 12: control algorithm ...""]"
